year,price_usd_mwday,cleared_ucap_mw,reliability_req_mw,netcone_usd_mwday,cap_bound
2007/08,40.8,129409.2,148277.3,161.27,0
2008/09,111.92,129597.6,150934.6,161.71,0
2009/10,102.04,132231.8,153480.1,161.71,0
2010/11,174.29,132190.4,156636.84,163.46,0
2011/12,110.0,132221.5,154251.1,160.76,0
2012/13,16.46,136143.5,157488.5,276.09,0
2013/14,27.73,152743.3,173549.0,317.95,0
2014/15,125.99,149974.7,178086.5,342.23,0
2015/16,136.0,164561.2,177184.1,320.63,0
2016/17,59.37,169159.7,180332.2,330.53,0
2017/18,120.0,167003.7,179545.1,351.39,0
2018/19,164.77,166836.9,174896.8,300.57,0
2019/20,100.0,167305.9,171037.0,299.3,0
2020/21,76.53,165109.2,167644.0,292.95,0
2021/22,140.0,163627.3,166355.1,321.57,0
2022/23,50.0,144477.3,163269.0,260.5,0
2023/24,34.13,144870.6,163166.0,274.96,0
2024/25,28.92,147477.4,164107.6,293.19,0
2025/26,269.92,135684.0,144450.0,228.81,0
2026/27,329.17,134310.8,146105.0,212.14,1
2027/28,334.35,134478.1,152400.2,242.52,1
