chain_link,identification_status,evidence_source,admissible_claim_scope,excluded_claim_scope
Speculative request stock,closed,"DOM queue ~70,000 MW; ~3x DOM peak (SCC PUR-2026-00011 p.7)","pre-gate speculative/contingent stock",firm committed demand
Forecast admissibility screen (firmness/derate/ramp/duplication),closed,"PJM LLA Summary p.4; Load Forecast Supplement p.23; CIFP exec p.1-3","gate screening parameters",approved retail screen
Admitted firm forecast increment (per zone),closed,"PJM Table B-9b (total large-load adj by zone/RTO 2026-2046)","admitted firm forecast / large-load adjustment",data-centre-only metered load
Reliability requirement & clearing price,closed,"PJM BRA Results workbooks (VRR, ACP, cleared UCAP)","cleared auction price/quantity",retail price
PJM-wide capacity-market counterfactual,closed (attributed),"IMM RPM BRA analyses 2025/26-2027/28 ($21.26B; restricted/conservative)","IMM-attributed above-embedded counterfactual","caused by data centres; household bill"
Zonal allocation bridge (DOM),author-constructed,"obligation/peak/price-weighted/net-CTR rules x PJM-wide counterfactual ($3.5-4.1B)","author-constructed proportional bridge","observed DOM charge; DOM-only counterfactual; household bill"
Inter-zonal cross-subsidy (zonal),bounded (not point-identified),"$0-9.7B bracket; nonlinearity + LDA internalization","bounded inter-zonal wholesale bracket","point-identified cross-subsidy; household incidence"
Zone-to-LSE settlement,formula-level (inputs confidential),"LRC = Daily UCAP Obligation x Final Zonal Price (Cap. Exch. UG pp.15-18; billing line 1610); LSE peak load is confidential EDC upload","formula-level settlement identity",observed LSE settlement dollars
Approved recovery channel,candidate/pending,"SCC ordered Dominion to file allocation proposals (future proceeding)","pending recovery channel",approved recovery fraction
Approved residential class allocation (alpha_res),missing,"no approved order; GS-5 class approved but cross-class allocation deferred (SCC)","not identified in the record",approved residential allocation factor
Tariff design & household denominator,missing,"no approved tariff mapping for this counterfactual","missing tariff-design mapping",household tariff incidence
Household-dollar incidence,not point-identified,"requires all of the above; external JLARC estimate is separate, not merged","not point-identifiable from the wholesale counterfactual","household bill; retail cost of the bridge"
